10000	0	0	0	8.874875528346765e-10	5.862194946531665e-10	1.285075332679614e-09	7.877138379993012e-10
10000	1	0	0	9.109148387422007e-10	6.976665823423817e-10	1.3260593732552958e-09	9.652055068126664e-10
10000	2	0	0	8.839637052536417e-10	8.00102032669372e-10	1.2789390760227677e-09	1.1351081424780373e-09
10000	3	0	0	8.130060875284223e-10	8.762352014592891e-10	1.1569639105196363e-09	1.2655070856541889e-09
10000	4	0	0	7.13230742007373e-10	9.101277970878275e-10	9.90607082795056e-10	1.324677184436003e-09
10000	5	0	0	6.02121697909887e-10	8.938327619410214e-10	8.125635657049411e-10	1.296143317445059e-09
10000	6	0	0	4.938884671103871e-10	8.312365143629056e-10	6.46629525706202e-10	1.18801247192915e-09
10000	7	0	0	3.971775531761092e-10	7.361395594252927e-10	5.048630229550222e-10	1.0282662399682493e-09
10000	8	0	0	3.1556400377609193e-10	6.26092811546777e-10	3.9024063790043336e-10	8.503237875699356e-10
10000	9	0	0	2.492163548616246e-10	5.163194862643334e-10	3.006454216419817e-10	6.803979458289894e-10
